Rank,Song,Artist(s),Streams (billions),Release date,Ref.,Streams (billions))
1,"""Blinding Lights""",The Weeknd,5.379,29 November 2019,[1],5.379
2,"""Shape of You""",Ed Sheeran,4.875,6 January 2017,[2],4.875
3,"""Sweater Weather""",The Neighbourhood,4.548,3 December 2012,[3],4.548
4,"""Starboy""",The Weeknd and Daft Punk,4.492,21 September 2016,[4],4.492
5,"""As It Was""",Harry Styles,4.371,1 April 2022,[5],4.371
6,"""Someone You Loved""",Lewis Capaldi,4.297,8 November 2018,[6],4.297
7,"""Sunflower""",Post Malone and Swae Lee,4.211,18 October 2018,[7],4.211
8,"""One Dance""",Drake with Wizkid and Kyla,4.181,5 April 2016,[8],4.181
9,"""Perfect""",Ed Sheeran,3.925,3 March 2017,[9],3.925
10,"""Stay""",The Kid Laroi with Justin Bieber,3.880,27 July 2021,[10],3.88
11,"""Believer""",Imagine Dragons,3.818,1 February 2017,[11],3.818
12,"""I Wanna Be Yours""",Arctic Monkeys,3.739,9 September 2013,[12],3.739
13,"""Heat Waves""",Glass Animals,3.733,29 June 2020,[13],3.733
14,"""Lovely""",Billie Eilish and Khalid,3.729,19 April 2018,[14],3.729
15,"""Yellow""",Coldplay,3.713,26 June 2000,[15],3.713
16,"""The Night We Met""",Lord Huron,3.705,7 April 2015,[16],3.705
17,"""Closer""",The Chainsmokers and Halsey,3.689,29 July 2016,[17],3.689
18,"""Birds of a Feather""",Billie Eilish,3.656,17 May 2024,[18],3.656
19,"""Riptide""",Vance Joy,3.620,21 May 2013,[19],3.62
20,"""Die With A Smile""",Lady Gaga and Bruno Mars,3.617,16 August 2024,[20],3.617
21,"""Something Just Like This""",The Chainsmokers and Coldplay,3.601,22 February 2017,[21],3.601
22,"""Say You Won't Let Go""",James Arthur,3.580,9 September 2016,[22],3.58
23,"""Another Love""",Tom Odell,3.524,15 October 2012,[23],3.524
24,"""Every Breath You Take""",The Police,3.449,20 May 1983,[24],3.449
25,"""Take Me To Church""",Hozier,3.436,13 September 2013,[25],3.436
26,"""Counting Stars""",OneRepublic,3.434,14 June 2013,[26],3.434
27,"""Dance Monkey""",Tones and I,3.427,10 May 2019,[27],3.427
28,"""Photograph""",Ed Sheeran,3.389,20 June 2014,[28],3.389
29,"""Rockstar""",Post Malone and 21 Savage,3.368,15 September 2017,[29],3.368
30,"""Cruel Summer""",Taylor Swift,3.324,23 August 2019,[30],3.324
31,"""Iris""",The Goo Goo Dolls,3.304,1 April 1998,[31],3.304
32,"""Señorita""",Shawn Mendes and Camila Cabello,3.299,21 June 2019,[32],3.299
33,"""Can't Hold Us""",Macklemore and Ryan Lewis with Ray Dalton,3.295,16 August 2011,[33],3.295
34,"""Viva La Vida""",Coldplay,3.289,25 May 2008,[34],3.289
35,"""Watermelon Sugar""",Harry Styles,3.265,16 November 2019,[35],3.265
36,"""Die for You""",The Weeknd,3.235,25 November 2016,[36],3.235
37,"""Just the Way You Are""",Bruno Mars,3.234,20 July 2010,[37],3.234
38,"""Don't Start Now""",Dua Lipa,3.209,31 October 2019,[38],3.209
39,"""Locked Out Of Heaven""",Bruno Mars,3.190,1 October 2012,[39],3.19
40,"""That's What I Like""",Bruno Mars,3.165,18 November 2016,[40],3.165
41,"""Love Yourself""",Justin Bieber,3.164,9 November 2015,[41],3.164
42,"""Mr. Brightside""",The Killers,3.152,29 September 2003,[42],3.152
43,"""Circles""",Post Malone,3.137,30 August 2019,[43],3.137
44,"""Bohemian Rhapsody""",Queen,3.128,31 October 1975,[44],3.128
45,"""In The End""",Linkin Park,3.124,24 October 2000,[45],3.124
46,"""Lucid Dreams""",Juice Wrld,3.114,4 May 2018,[46],3.114
47,"""When I Was Your Man""",Bruno Mars,3.113,7 December 2012,[47],3.113
48,"""Goosebumps""",Travis Scott and Kendrick Lamar,3.112,2 September 2016,[48],3.112
49,"""Thinking out Loud""",Ed Sheeran,3.096,20 June 2014,[49],3.096
50,"""Wake Me Up""",Avicii,3.078,17 June 2013,[50],3.078
51,"""Shallow""",Lady Gaga and Bradley Cooper,3.066,27 September 2018,[51],3.066
52,"""All of Me""",John Legend,3.054,12 August 2013,[52],3.054
53,"""Without Me""",Eminem,3.052,13 May 2002,[53],3.052
54,"""God's Plan""",Drake,3.049,19 January 2018,[54],3.049
55,"""The Hills""",The Weeknd,3.016,27 May 2015,[55],3.016
56,"""Stressed Out""",Twenty One Pilots,3.005,28 April 2015,[56],3.005
57,"""Demons""",Imagine Dragons,3.003,4 September 2012,[57],3.003
58,"""Let Me Love You""",DJ Snake and Justin Bieber,2.999,5 August 2016,[58],2.999
59,"""Thunder""",Imagine Dragons,2.998,27 April 2017,[59],2.998
60,"""All The Stars""",Kendrick Lamar and SZA,2.960,4 January 2018,[60],2.96
61,"""Do I Wanna Know?""",Arctic Monkeys,2.957,19 June 2013,[61],2.957
62,"""Espresso""",Sabrina Carpenter,2.943,11 April 2024,[62],2.943
63,"""Bad Guy""",Billie Eilish,2.906,29 March 2019,[63],2.906
64,"""Beautiful Things""",Benson Boone,2.902,19 January 2024,[64],2.902
65,"""Seven""",Jung Kook and Latto,2.901,14 July 2023,[65],2.901
66,"""Humble""",Kendrick Lamar,2.900,30 March 2017,[66],2.9
67,"""No Role Modelz""",J. Cole,2.895,9 December 2014,[67],2.895
68,"""See You Again""","Tyler, the Creator and Kali Uchis",2.895,21 July 2017,[68],2.895
69,"""Unforgettable""",French Montana and Swae Lee,2.881,7 April 2017,[69],2.881
70,"""Lose Yourself""",Eminem,2.878,28 October 2002,[70],2.878
71,"""Sorry""",Justin Bieber,2.864,22 October 2015,[71],2.864
72,"""Smells Like Teen Spirit""",Nirvana,2.863,10 September 1991,[72],2.863
73,"""Flowers""",Miley Cyrus,2.846,13 January 2023,[73],2.846
74,"""Creep""",Radiohead,2.845,21 September 1992,[74],2.845
75,"""Treat You Better""",Shawn Mendes,2.830,3 June 2016,[75],2.83
76,"""The Scientist""",Coldplay,2.828,26 May 2002,[76],2.828
77,"""Drivers License""",Olivia Rodrigo,2.813,8 January 2021,[77],2.813
78,"""7 Rings""",Ariana Grande,2.797,18 January 2019,[78],2.797
79,"""Don't Stop Believin'""",Journey,2.796,19 October 1981,[79],2.796
80,"""Let Her Go""",Passenger,2.794,24 July 2012,[80],2.794
81,"""505""",Arctic Monkeys,2.788,27 April 2007,[81],2.788
82,"""Kill Bill""",SZA,2.778,9 December 2022,[82],2.778
83,"""There's Nothing Holdin' Me Back""",Shawn Mendes,2.778,20 April 2017,[83],2.778
84,"""Wonderwall""",Oasis,2.752,2 October 1995,[84],2.752
85,"""Take On Me""",A-ha,2.741,19 October 1984,[85],2.741
86,"""Numb""",Linkin Park,2.708,25 March 2003,[86],2.708
87,"""Save Your Tears""",The Weeknd,2.692,20 March 2020,[87],2.692
88,"""Cold Heart (Pnau remix)""",Elton John and Dua Lipa with Pnau,2.690,13 August 2021,[88],2.69
89,"""Dreams""",Fleetwood Mac,2.680,4 February 1977,[89],2.68
90,"""Sweet Child O' Mine""",Guns N' Roses,2.677,3 June 1988,[90],2.677
91,"""One Kiss""",Calvin Harris and Dua Lipa,2.669,6 April 2018,[91],2.669
92,"""Lean On""",Major Lazer and DJ Snake with M∅,2.649,2 March 2015,[92],2.649
93,"""Payphone""",Maroon 5 and Wiz Khalifa,2.644,6 April 2012,[93],2.644
94,"""Billie Jean""",Michael Jackson,2.637,29 November 1982,[94],2.637
95,"""Don't Stop Me Now""",Queen,2.634,26 January 1979,[95],2.634
96,"""Uptown Funk""",Mark Ronson and Bruno Mars,2.628,10 November 2014,[96],2.628
97,"""Good 4 U""",Olivia Rodrigo,2.628,14 May 2021,[97],2.628
98,"""Happier""",Marshmello and Bastille,2.595,16 August 2018,,2.595
99,"""One of the Girls""","The Weeknd, Jennie, and Lily-Rose Depp",2.591,23 June 2023,,2.591
100,"""Someone Like You""",Adele,2.582,24 January 2011,[98],2.582
As of 22 April 2026,As of 22 April 2026,As of 22 April 2026,222026,As of 22 April 2026,As of 22 April 2026,222026.0
